num	code	name	value(亿元)
1	601288	农业银行	21400.00 
2	601857	中国石油	19900.00 
3	601398	工商银行	19200.00 
4	600519	贵州茅台	17600.00 
5	300750	宁德时代	15100.00 
6	601988	中国银行	11400.00 
7	601138	工业富联	10800.00 
8	601628	中国人寿	8889.56 
9	600036	招商银行	8086.55 
10	601899	紫金矿业	7642.93 
11	601088	中国神华	7557.84 
12	601318	中国平安	6680.66 
13	600900	长江电力	6640.67 
14	600028	中国石化	6518.97 
15	300308	中际旭创	6030.28 
16	688041	海光信息	5622.57 
17	000333	美的集团	5242.77 
18	688256	寒武纪	4831.44 
19	601728	中国电信	4634.49 
20	000858	五粮液	3974.60 
